2025-08-12 20:21:58.912 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt
2025-08-12 20:21:58.914 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:59.028 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt
2025-08-12 20:21:59.047 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt
2025-08-12 20:21:59.052 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt
2025-08-12 20:21:59.054 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:59.059 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt
2025-08-12 20:21:59.061 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt
2025-08-12 20:21:59.063 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt
2025-08-12 20:21:59.064 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:59.070 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt
2025-08-12 20:21:59.084 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt
2025-08-12 20:21:59.086 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (8).txt
2025-08-12 20:21:59.087 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:59.792 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt
2025-08-12 20:21:59.821 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt
2025-08-12 20:21:59.823 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (9).txt
2025-08-12 20:21:59.832 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:21:59.853 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt
2025-08-12 20:21:59.855 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt
2025-08-12 20:21:59.858 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt
2025-08-12 20:21:59.863 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:00.309 [COMUM] -> Criado:    C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt
2025-08-12 20:22:00.315 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt
2025-08-12 20:22:00.317 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt
2025-08-12 20:22:00.321 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:20.837 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt.locked
2025-08-12 20:22:20.838 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:20.841 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt.locked
2025-08-12 20:22:20.847 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (10).txt.locked
2025-08-12 20:22:20.868 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt.locked
2025-08-12 20:22:20.869 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:20.869 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt.locked
2025-08-12 20:22:20.873 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (11).txt.locked
2025-08-12 20:22:20.895 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt.locked
2025-08-12 20:22:20.915 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:20.992 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt.locked
2025-08-12 20:22:21.059 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (2).txt.locked
2025-08-12 20:22:21.102 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt.locked
2025-08-12 20:22:21.123 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.154 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt.locked
2025-08-12 20:22:21.200 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (3).txt.locked
2025-08-12 20:22:21.261 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt.locked
2025-08-12 20:22:21.264 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.274 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt.locked
2025-08-12 20:22:21.279 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (4).txt.locked
2025-08-12 20:22:21.292 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt.locked
2025-08-12 20:22:21.302 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.314 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt.locked
2025-08-12 20:22:21.318 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (5).txt.locked
2025-08-12 20:22:21.322 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt.locked
2025-08-12 20:22:21.324 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
2025-08-12 20:22:21.338 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt.locked
2025-08-12 20:22:21.340 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (6).txt.locked
2025-08-12 20:22:21.351 [COMUM] -> Renomeado: C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt -> C:\Users\samue\Documents\pastaAlvo\iubhhikj - Copia (7).txt.locked
2025-08-12 20:22:21.354 [COMUM] -> Alterado:  C:\Users\samue\Documents\pastaAlvo
